isic_rev4_4dig;isic_rev4_secdig
111;"A"
112;"A"
113;"A"
114;"A"
115;"A"
116;"A"
119;"A"
121;"A"
122;"A"
123;"A"
124;"A"
125;"A"
126;"A"
127;"A"
128;"A"
129;"A"
130;"A"
141;"A"
142;"A"
143;"A"
144;"A"
145;"A"
146;"A"
149;"A"
150;"A"
161;"A"
162;"A"
163;"A"
164;"A"
170;"A"
210;"A"
220;"A"
230;"A"
240;"A"
311;"A"
312;"A"
321;"A"
322;"A"
510;"B"
520;"B"
610;"B"
620;"B"
710;"B"
721;"B"
729;"B"
810;"B"
891;"B"
892;"B"
893;"B"
899;"B"
910;"B"
990;"B"
1010;"C"
1020;"C"
1030;"C"
1040;"C"
1050;"C"
1061;"C"
1062;"C"
1071;"C"
1072;"C"
1073;"C"
1074;"C"
1075;"C"
1079;"C"
1080;"C"
1101;"C"
1102;"C"
1103;"C"
1104;"C"
1200;"C"
1311;"C"
1312;"C"
1313;"C"
1391;"C"
1392;"C"
1393;"C"
1394;"C"
1399;"C"
1410;"C"
1420;"C"
1430;"C"
1511;"C"
1512;"C"
1520;"C"
1610;"C"
1621;"C"
1622;"C"
1623;"C"
1629;"C"
1701;"C"
1702;"C"
1709;"C"
1811;"C"
1812;"C"
1820;"C"
1910;"C"
1920;"C"
2011;"C"
2012;"C"
2013;"C"
2021;"C"
2022;"C"
2023;"C"
2029;"C"
2030;"C"
2100;"C"
2211;"C"
2219;"C"
2220;"C"
2310;"C"
2391;"C"
2392;"C"
2393;"C"
2394;"C"
2395;"C"
2396;"C"
2399;"C"
2410;"C"
2420;"C"
2431;"C"
2432;"C"
2511;"C"
2512;"C"
2513;"C"
2520;"C"
2591;"C"
2592;"C"
2593;"C"
2599;"C"
2610;"C"
2620;"C"
2630;"C"
2640;"C"
2651;"C"
2652;"C"
2660;"C"
2670;"C"
2680;"C"
2710;"C"
2720;"C"
2731;"C"
2732;"C"
2733;"C"
2740;"C"
2750;"C"
2790;"C"
2811;"C"
2812;"C"
2813;"C"
2814;"C"
2815;"C"
2816;"C"
2817;"C"
2818;"C"
2819;"C"
2821;"C"
2822;"C"
2823;"C"
2824;"C"
2825;"C"
2826;"C"
2829;"C"
2910;"C"
2920;"C"
2930;"C"
3011;"C"
3012;"C"
3020;"C"
3030;"C"
3040;"C"
3091;"C"
3092;"C"
3099;"C"
3100;"C"
3211;"C"
3212;"C"
3220;"C"
3230;"C"
3240;"C"
3250;"C"
3290;"C"
3311;"C"
3312;"C"
3313;"C"
3314;"C"
3315;"C"
3319;"C"
3320;"C"
3510;"D"
3520;"D"
3530;"D"
3600;"E"
3700;"E"
3811;"E"
3812;"E"
3821;"E"
3822;"E"
3830;"E"
3900;"E"
4100;"F"
4210;"F"
4220;"F"
4290;"F"
4311;"F"
4312;"F"
4321;"F"
4322;"F"
4329;"F"
4330;"F"
4390;"F"
4510;"G"
4520;"G"
4530;"G"
4540;"G"
4610;"G"
4620;"G"
4630;"G"
4641;"G"
4649;"G"
4651;"G"
4652;"G"
4653;"G"
4659;"G"
4661;"G"
4662;"G"
4663;"G"
4669;"G"
4690;"G"
4711;"G"
4719;"G"
4721;"G"
4722;"G"
4723;"G"
4730;"G"
4741;"G"
4742;"G"
4751;"G"
4752;"G"
4753;"G"
4759;"G"
4761;"G"
4762;"G"
4763;"G"
4764;"G"
4771;"G"
4772;"G"
4773;"G"
4774;"G"
4781;"G"
4782;"G"
4789;"G"
4791;"G"
4799;"G"
4911;"H"
4912;"H"
4921;"H"
4922;"H"
4923;"H"
4930;"H"
5011;"H"
5012;"H"
5021;"H"
5022;"H"
5110;"H"
5120;"H"
5210;"H"
5221;"H"
5222;"H"
5223;"H"
5224;"H"
5229;"H"
5310;"H"
5320;"H"
5510;"I"
5520;"I"
5590;"I"
5610;"I"
5621;"I"
5629;"I"
5630;"I"
5811;"J"
5812;"J"
5813;"J"
5819;"J"
5820;"J"
5911;"J"
5912;"J"
5913;"J"
5914;"J"
5920;"J"
6010;"J"
6020;"J"
6110;"J"
6120;"J"
6130;"J"
6190;"J"
6201;"J"
6202;"J"
6209;"J"
6311;"J"
6312;"J"
6391;"J"
6399;"J"
6411;"K"
6419;"K"
6420;"K"
6430;"K"
6491;"K"
6492;"K"
6499;"K"
6511;"K"
6512;"K"
6520;"K"
6530;"K"
6611;"K"
6612;"K"
6619;"K"
6621;"K"
6622;"K"
6629;"K"
6630;"K"
6810;"L"
6820;"L"
6910;"M"
6920;"M"
7010;"M"
7020;"M"
7110;"M"
7120;"M"
7210;"M"
7220;"M"
7310;"M"
7320;"M"
7410;"M"
7420;"M"
7490;"M"
7500;"M"
7710;"N"
7721;"N"
7722;"N"
7729;"N"
7730;"N"
7740;"N"
7810;"N"
7820;"N"
7830;"N"
7911;"N"
7912;"N"
7990;"N"
8010;"N"
8020;"N"
8030;"N"
8110;"N"
8121;"N"
8129;"N"
8130;"N"
8211;"N"
8219;"N"
8220;"N"
8230;"N"
8291;"N"
8292;"N"
8299;"N"
8411;"O"
8412;"O"
8413;"O"
8421;"O"
8422;"O"
8423;"O"
8430;"O"
8510;"P"
8521;"P"
8522;"P"
8530;"P"
8541;"P"
8542;"P"
8549;"P"
8550;"P"
8610;"Q"
8620;"Q"
8690;"Q"
8710;"Q"
8720;"Q"
8730;"Q"
8790;"Q"
8810;"Q"
8890;"Q"
9000;"R"
9101;"R"
9102;"R"
9103;"R"
9200;"R"
9311;"R"
9312;"R"
9319;"R"
9321;"R"
9329;"R"
9411;"S"
9412;"S"
9420;"S"
9491;"S"
9492;"S"
9499;"S"
9511;"S"
9512;"S"
9521;"S"
9522;"S"
9523;"S"
9524;"S"
9529;"S"
9601;"S"
9602;"S"
9603;"S"
9609;"S"
9700;"T"
9810;"T"
9820;"T"
9900;"U"
