isic_rev2_4dig;isic_rev31_4dig;isic_rev2_secdig;isic_rev2_1dig;isic_rev2_2dig;isic_rev2_3dig;isic_rev31_secdig;isic_rev31_1dig;isic_rev31_2dig;isic_rev31_3dig
1110;111;"C";1;11;111;"A";0;1;11
1110;112;"C";1;11;111;"A";0;1;11
1110;113;"C";1;11;111;"A";0;1;11
1110;121;"C";1;11;111;"A";0;1;12
1110;122;"C";1;11;111;"A";0;1;12
1110;130;"C";1;11;111;"A";0;1;13
1110;140;"C";1;11;111;"A";0;1;14
1110;200;"C";1;11;111;"A";0;2;20
1120;122;"C";1;11;112;"A";0;1;12
1120;140;"C";1;11;112;"A";0;1;14
1120;7414;"C";1;11;112;"K";7;74;741
1130;150;;;;;"A";0;1;15
1210;112;;;;;"A";0;1;11
1210;200;;;;;"A";0;2;20
1220;200;;;;;"A";0;2;20
1301;150;;;;;"A";0;1;15
1301;501;;;;;"B";0;5;50
1302;122;;;;;"A";0;1;12
1302;501;;;;;"B";0;5;50
1302;502;;;;;"B";0;5;50
2100;1010;;;;;"C";1;10;101
2100;1020;;;;;"C";1;10;102
2200;1010;;;;;"C";1;10;101
2200;1110;;;;;"C";1;11;111
2301;1310;;;;;"C";1;13;131
2302;1200;;;;;"C";1;12;120
2302;1320;;;;;"C";1;13;132
2901;1410;;;;;"C";1;14;141
2901;1429;;;;;"C";1;14;142
2902;1421;;;;;"C";1;14;142
2903;1422;;;;;"C";1;14;142
2909;1030;;;;;"C";1;10;103
2909;1410;;;;;"C";1;14;141
2909;1429;;;;;"C";1;14;142
3111;1511;;;;;"D";1;15;151
3111;1549;;;;;"D";1;15;154
3112;1520;;;;;"D";1;15;152
3113;1513;;;;;"D";1;15;151
3113;1549;;;;;"D";1;15;154
3114;1512;;;;;"D";1;15;151
3114;1549;;;;;"D";1;15;154
3115;1511;;;;;"D";1;15;151
3115;1512;;;;;"D";1;15;151
3115;1514;;;;;"D";1;15;151
3115;1532;;;;;"D";1;15;153
3116;1513;;;;;"D";1;15;151
3116;1531;;;;;"D";1;15;153
3116;1532;;;;;"D";1;15;153
3117;1541;;;;;"D";1;15;154
3117;1544;;;;;"D";1;15;154
3118;1542;;;;;"D";1;15;154
3119;1513;;;;;"D";1;15;151
3119;1543;;;;;"D";1;15;154
3121;1513;;;;;"D";1;15;151
3121;1532;;;;;"D";1;15;153
3121;1542;;;;;"D";1;15;154
3121;1543;;;;;"D";1;15;154
3121;1544;;;;;"D";1;15;154
3121;1549;;;;;"D";1;15;154
3121;2429;;;;;"D";2;24;242
3122;1531;;;;;"D";1;15;153
3122;1533;;;;;"D";1;15;153
3131;1551;;;;;"D";1;15;155
3132;1552;;;;;"D";1;15;155
3133;1553;;;;;"D";1;15;155
3134;1554;;;;;"D";1;15;155
3140;1600;"D";3;31;314;"D";1;16;160
3211;140;;;;;"A";0;1;14
3211;1711;;;;;"D";1;17;171
3211;1712;;;;;"D";1;17;171
3211;1729;;;;;"D";1;17;172
3211;2430;;;;;"D";2;24;243
3211;2610;;;;;"D";2;26;261
3211;5260;;;;;"G";5;52;526
3212;1721;;;;;"D";1;17;172
3212;2520;;;;;"D";2;25;252
3213;1730;;;;;"D";1;17;173
3214;1722;;;;;"D";1;17;172
3214;2029;;;;;"D";2;20;202
3215;1723;;;;;"D";1;17;172
3219;1729;;;;;"D";1;17;172
3219;1820;;;;;"D";1;18;182
3219;3699;;;;;"D";3;36;369
3219;3720;;;;;"D";3;37;372
3220;1810;"D";3;32;322;"D";1;18;181
3220;1820;"D";3;32;322;"D";1;18;182
3231;1911;;;;;"D";1;19;191
3232;1820;;;;;"D";1;18;182
3233;1912;;;;;"D";1;19;191
3233;3699;;;;;"D";3;36;369
3240;1920;;;;;"D";1;19;192
3240;2899;;;;;"D";2;28;289
3311;2010;"D";3;33;331;"D";2;20;201
3311;2021;"D";3;33;331;"D";2;20;202
3311;2022;"D";3;33;331;"D";2;20;202
3311;2023;"D";3;33;331;"D";2;20;202
3312;2023;"D";3;33;331;"D";2;20;202
3312;2029;"D";3;33;331;"D";2;20;202
3319;1920;;;;;"D";1;19;192
3319;2010;;;;;"D";2;20;201
3319;2029;;;;;"D";2;20;202
3319;3699;;;;;"D";3;36;369
3320;1721;"D";3;33;332;"D";1;17;172
3320;2029;"D";3;33;332;"D";2;20;202
3320;3610;"D";3;33;332;"D";3;36;361
