isic_rev3_4dig;isic_rev31_4dig;isic_rev31_secdig;isic_rev3_secdig
111;111;"A";"A"
112;113;"A";"A"
112;112;"A";"A"
113;113;"A";"A"
121;121;"A";"A"
122;122;"A";"A"
130;130;"A";"A"
140;140;"A";"A"
140;9309;"O";"A"
150;150;"A";"A"
200;200;"A";"A"
200;113;"A";"A"
500;501;"B";"B"
500;502;"B";"B"
1010;1010;"C";"C"
1020;1020;"C";"C"
1030;1030;"C";"C"
1110;1110;"C";"C"
1120;1120;"C";"C"
1200;1200;"C";"C"
1310;1310;"C";"C"
1320;1320;"C";"C"
1410;1410;"C";"C"
1421;1421;"C";"C"
1422;1422;"C";"C"
1429;1429;"C";"C"
1511;1511;"D";"D"
1512;1512;"D";"D"
1513;1513;"D";"D"
1514;1514;"D";"D"
1520;1520;"D";"D"
1531;1531;"D";"D"
1532;1532;"D";"D"
1533;1533;"D";"D"
1541;1541;"D";"D"
1542;1542;"D";"D"
1543;1543;"D";"D"
1544;1544;"D";"D"
1549;1513;"D";"D"
1549;1549;"D";"D"
1551;1551;"D";"D"
1552;1552;"D";"D"
1553;1553;"D";"D"
1554;1554;"D";"D"
1600;1600;"D";"D"
1711;1711;"D";"D"
1712;1712;"D";"D"
1712;5260;"G";"D"
1721;1721;"D";"D"
1722;1722;"D";"D"
1723;1723;"D";"D"
1729;1729;"D";"D"
1730;1730;"D";"D"
1810;1810;"D";"D"
1820;1820;"D";"D"
1911;1911;"D";"D"
1912;1912;"D";"D"
1920;1920;"D";"D"
2010;2010;"D";"D"
2021;2021;"D";"D"
2022;2022;"D";"D"
2023;2023;"D";"D"
2029;2029;"D";"D"
2101;2101;"D";"D"
2102;2102;"D";"D"
2109;2109;"D";"D"
2211;2213;"D";"D"
2211;2211;"D";"D"
2212;2212;"D";"D"
2213;2213;"D";"D"
2219;2219;"D";"D"
2221;2221;"D";"D"
2222;2222;"D";"D"
2230;2230;"D";"D"
2310;2310;"D";"D"
2320;2320;"D";"D"
2330;2330;"D";"D"
2411;2411;"D";"D"
2412;2412;"D";"D"
2413;2413;"D";"D"
2421;2421;"D";"D"
2422;2422;"D";"D"
2423;2423;"D";"D"
2424;2424;"D";"D"
2429;2429;"D";"D"
2430;2430;"D";"D"
2511;2511;"D";"D"
2519;2519;"D";"D"
2520;2520;"D";"D"
2610;2610;"D";"D"
2691;2691;"D";"D"
2692;2692;"D";"D"
2693;2693;"D";"D"
2694;2694;"D";"D"
2695;2695;"D";"D"
2696;2696;"D";"D"
2699;2699;"D";"D"
2710;2710;"D";"D"
2720;2720;"D";"D"
2731;2731;"D";"D"
2732;2732;"D";"D"
2811;2811;"D";"D"
2812;2812;"D";"D"
2813;2813;"D";"D"
2891;2891;"D";"D"
2892;5260;"G";"D"
2892;2892;"D";"D"
2893;2893;"D";"D"
2899;2899;"D";"D"
2911;2911;"D";"D"
2912;2912;"D";"D"
2913;2913;"D";"D"
2914;2914;"D";"D"
2915;2915;"D";"D"
2919;2919;"D";"D"
2921;2921;"D";"D"
2922;2922;"D";"D"
2923;2923;"D";"D"
2924;2924;"D";"D"
2925;2925;"D";"D"
2926;2926;"D";"D"
2927;2927;"D";"D"
2929;2926;"D";"D"
2929;2929;"D";"D"
2930;2930;"D";"D"
3000;3000;"D";"D"
3110;3110;"D";"D"
3120;3120;"D";"D"
3130;3130;"D";"D"
3140;3140;"D";"D"
3150;3150;"D";"D"
3190;3190;"D";"D"
3210;3210;"D";"D"
3220;3220;"D";"D"
3230;3230;"D";"D"
3311;3311;"D";"D"
3312;3312;"D";"D"
3313;3313;"D";"D"
3320;3320;"D";"D"
3330;3330;"D";"D"
3410;3410;"D";"D"
3420;3420;"D";"D"
3430;3430;"D";"D"
3511;3511;"D";"D"
3512;3512;"D";"D"
3520;3520;"D";"D"
3530;3530;"D";"D"
3591;3591;"D";"D"
3592;3592;"D";"D"
3599;3599;"D";"D"
3610;3610;"D";"D"
3691;3691;"D";"D"
3692;3692;"D";"D"
3693;3693;"D";"D"
3694;3694;"D";"D"
3699;3699;"D";"D"
3710;3710;"D";"D"
3720;3720;"D";"D"
4010;4010;"E";"E"
4020;4020;"E";"E"
4030;4030;"E";"E"
4100;4100;"E";"E"
4510;4510;"F";"F"
4520;4520;"F";"F"
4530;4530;"F";"F"
4540;4540;"F";"F"
4550;4550;"F";"F"
5010;5010;"G";"G"
